,length,oneway,off,bdir,trad,unit,area,sbt,sds,sice,sin,snl,stot
wc,2556410.5,65.858717184,8.549993226240005,74.40871041024,57.30871947264,131.92060133376,56433676288.0,-0.13535362452,-7.30825747968,0.0,11.794930452480001,-2.3416124736,2.00970896832
wc.wa,258005.609375,12.7327567104,0.26138606592,12.99414277632,12.471368401920001,19.2900862464,5802063360.0,-0.07611579768,-0.8201432966400001,0.0,1.2026051769600001,-0.25040997864000003,0.055936077720000005
wc.or,476253.3125,19.596630743040002,0.81578502144,20.412415764480002,18.780844600320002,34.5918916608,9388424192.0,-0.028584339900000002,-2.2503193977600002,0.0,3.51736313472,-0.65360630592,0.5848530604800001
wc.ca,1822151.625,33.563289937920004,7.463183615999995,41.02647355392,26.100108564480003,78.0164646912,40539533312.0,-0.02845675707,-4.198045409280001,0.0,7.007026728960001,-1.4248685222400002,1.35565709376
ec,3198674.25,45.21558460416,6.968580280320005,52.184164884480005,38.24700432384,80.88090451968,82097455104.0,-5.65875480576,-14.89189011456,0.0,24.7958513664,-3.8179948416,0.42721191984
ec.ne,805216.75,14.936659461120001,3.89135851008,18.8280179712,11.045304314880001,29.745421240320002,28193970176.0,-0.59512342464,-8.23934148096,0.0,13.51076468736,-2.00515012416,2.67114881664
ec.ma,665975.375,12.25899572736,1.2378897561599995,13.49688548352,11.02110484992,20.54448012288,19002265600.0,-1.49270414016,-2.86862332416,0.0,4.70567465472,-0.72556690272,-0.381219432
ec.se,1727482.0,18.052734704640002,1.8311029401599974,19.8838376448,16.221632885760002,30.639662223360002,33975199744.0,-3.54070061568,-3.63701492352,0.0,6.3318933888,-1.05085821984,-1.89668016
hi,1749916.125,17.44788263424,7.551380136960002,24.9992627712,9.896500254720001,43.75337269248,31162910720.0,-0.000126526514296875,-2.84995793664,0.0,5.19975547392,-1.17117534816,1.17849569472
ak,11205635.0,543.9348655718401,157.38031325184,701.3151788236801,386.55455232,1148.5513954099201,323765665792.0,-6.218863879680001,-141.97623140352002,0.0,242.54511734784,-35.25930442752,59.10847254528
gm,2723843.5,18.00960803328,2.3760338073600025,20.38564184064,15.633571983360001,29.29007391744,64780673024.0,-3.05044224,-5.102931824640001,0.0,9.37350947328,-1.51792775424,-0.29779224048
prusvi,636362.125,2.47981612032,0.6958327295999998,3.17564884992,1.78398367104,5.98228276992,13952835584.0,-0.02686831941,-0.72830801184,0.0,1.45916497344,-0.33778784256,0.36620079744
total,22070840.0,692.9464741478401,183.52213343232,876.4686075801601,509.4243320256001,1440.3786306432,572193243136.0,-15.090409395884299,-172.85757677088003,0.0,295.16832908736006,-44.44580268767999,62.79229768512
