,length,oneway,off,bdir,trad,unit,area,sbt,sds,sice,sin,snl,stot
wc,1994474.0,140.8122710016,24.246155059199992,165.0584260608,116.5661159424,213.75726698496,815923068928.0,-0.25081413,-656.99968155648,0.0,1039.4720570572802,-174.67445157888,207.54709807104
wc.wa,30093.24609375,6.0230452224,0.14836104191999944,6.17140626432,5.87468474112,7.6300665216,59670458368.0,-0.15275987592,-44.7536262144,0.0,72.28218494976001,-11.691335393280001,15.684459033600001
wc.or,493194.40625,57.82889023488,4.2393040281600065,62.068194263040006,53.58959069184,73.82409744384,179755892736.0,-0.06327128562,-176.75047010304002,0.0,270.23926222848,-43.151151144960004,50.27439630336
wc.ca,1471186.625,77.3626687488,19.819440291839996,97.18210904064,57.543219486720005,132.68930605056,575793004544.0,-0.03222709611,-434.34806280192004,0.0,695.32966060032,-119.64930404352,141.30003677184
ec,1908679.5,37.77459560448,44.471633264640005,82.24622886912,-6.69702532608,112.97421656064,890959429632.0,-26.84110420992,-865.3993829990401,0.0,1334.8596921139201,-207.67210733568,234.94707290112
ec.ne,403368.46875,10.85527538688,14.56225622016,25.41753160704,-3.7069785907200004,36.30051830784,208611721216.0,-4.49369414784,-247.16174106624,0.0,387.69757618176004,-57.23514556416,78.80698503168
ec.ma,318582.125,6.976783564800001,7.86821686272,14.84500042752,-0.89143259712,20.19221655552,191075008512.0,-6.4674477312,-221.30803826688,0.0,334.67280113664003,-51.35722088448,55.540057251840004
ec.se,1186728.875,19.9764329472,22.040991989760006,42.017424936960005,-2.06456184576,56.588597575680005,487995932672.0,-15.760202618880001,-394.23236014080004,0.0,608.13856899072,-98.4487428096,99.69721184256001
hi,4354267.0,105.22884489216,40.50696658944,145.7358114816,64.72188727296,204.98767331328,895672909824.0,-0.0004160492878125,-312.09215950848,0.0,526.9506131558401,-110.8722561024,103.98570418176
ak,5543553.0,338.27768942592,192.61272489984003,530.89041432576,145.6649465856,719.74887849984,3208809021440.0,-66.7319924736,-5234.09973313536,0.0,8032.2743894016,-1219.05547247616,1512.4438922035201
gm,914020.3125,4.219390656,6.42594523392,10.64533588992,-2.2065554188800003,14.383727139840001,693228273664.0,-15.97534373376,-239.0395834368,0.0,380.04675084288,-68.24632147968,56.785530224640006
prusvi,102083.265625,2.47657506048,0.24988257407999992,2.72645763456,2.22669206592,3.60858655104,210565857280.0,-0.02699095503,-54.75532271616,0.0,102.35866411008,-20.635700736,26.940646963200003
total,14817077.0,628.7893666406401,308.51330762112,937.3026742617601,320.27606112192007,1269.4603490496002,6715158298624.0,-109.82666155159781,-7362.3858633523205,0.0,11415.962166681598,-1801.1563097088,2142.64994454528
